item_id	bucket	item_kind	command	option	value	combination	repo_state	transport	platform	implementation_source	evidence_source	evidence_kind	source_detail	next_action	notes
matrix:e8c462b07de48fab	verified	exact_behavior_variant	add	--intent-to-add	intent.txt	intent-to-add new path	clean repository with untracked path	local	all	behavior matrix	tools/git-add-oracle-smoke.sh::add_intent_long	real_tool_trace	docs/cli/matrices/add_v2_47.tsv:4	safe to skip unless code or evidence changes	intent-to-add long form creates a stock-compatible index placeholder, stdout/stderr and status
matrix:a5aaf3e4cc0fb326	verified	exact_behavior_variant	add	--intent-to-add	intent.txt	repeated --intent-to-add	clean repository with untracked path	local	all	behavior matrix	tools/git-add-oracle-smoke.sh::add_intent_repeated_long	real_tool_trace	docs/cli/matrices/add_v2_47.tsv:5	safe to skip unless code or evidence changes	repeated intent-to-add long form creates a stock-compatible index placeholder like stock Git
matrix:05bb2a513c635d72	verified	exact_behavior_variant	add	-N	intent.txt	intent-to-add new path	clean repository with untracked path	local	all	behavior matrix	tools/git-add-oracle-smoke.sh::add_intent_short	real_tool_trace	docs/cli/matrices/add_v2_47.tsv:6	safe to skip unless code or evidence changes	intent-to-add short form creates a stock-compatible index placeholder, stdout/stderr and status
matrix:84e0d8f63b9a3dba	verified	exact_behavior_variant	add	-N	intent.txt	repeated -N	clean repository with untracked path	local	all	behavior matrix	tools/git-add-oracle-smoke.sh::add_intent_repeated_short	real_tool_trace	docs/cli/matrices/add_v2_47.tsv:7	safe to skip unless code or evidence changes	repeated intent-to-add short form creates a stock-compatible index placeholder like stock Git
matrix:fdefa4ffb5f19fd9	verified	exact_behavior_variant	add	<positional:paths>	new.txt	default new path add	clean repository with untracked path	local	all	behavior matrix	tools/git-add-oracle-smoke.sh::add_positional_path	real_tool_trace	docs/cli/matrices/add_v2_47.tsv:8	safe to skip unless code or evidence changes	positional path add stages the new file with stock-compatible stdout/stderr, status and index shape
matrix:973904bca71c5cfe	verified	exact_behavior_variant	add	--all	<empty>	tracked modification, deletion and untracked path	tracked modification plus deletion plus untracked path	local	all	behavior matrix	tools/git-add-oracle-smoke.sh::add_all_long	real_tool_trace	docs/cli/matrices/add_v2_47.tsv:9	safe to skip unless code or evidence changes	long all option stages tracked update, tracked deletion and untracked path with stock-compatible stdout/stderr, status and index shape
matrix:7f4a72a7471b3e10	verified	exact_behavior_variant	add	--all	<empty>	repeated --all	tracked modification plus deletion plus untracked path	local	all	behavior matrix	tools/git-add-oracle-smoke.sh::add_all_repeated_long	real_tool_trace	docs/cli/matrices/add_v2_47.tsv:10	safe to skip unless code or evidence changes	repeated long all option stages tracked update, tracked deletion and untracked path like stock Git
matrix:03d16a0d3e95428c	verified	exact_behavior_variant	add	-A	<empty>	tracked modification, deletion and untracked path	tracked modification plus deletion plus untracked path	local	all	behavior matrix	tools/git-add-oracle-smoke.sh::add_all_short	real_tool_trace	docs/cli/matrices/add_v2_47.tsv:11	safe to skip unless code or evidence changes	short all option stages tracked update, tracked deletion and untracked path with stock-compatible stdout/stderr, status and index shape
matrix:b86f2607a4e3d376	verified	exact_behavior_variant	add	-A	<empty>	repeated -A	tracked modification plus deletion plus untracked path	local	all	behavior matrix	tools/git-add-oracle-smoke.sh::add_all_repeated_short	real_tool_trace	docs/cli/matrices/add_v2_47.tsv:12	safe to skip unless code or evidence changes	repeated short all option stages tracked update, tracked deletion and untracked path like stock Git
matrix:533e8913596c2676	verified	exact_behavior_variant	add	--no-all	<empty>	no pathspec	clean repository	local	all	behavior matrix	tools/git-add-oracle-smoke.sh::add_no_all_empty	real_tool_trace	docs/cli/matrices/add_v2_47.tsv:13	safe to skip unless code or evidence changes	no-all without a pathspec matches stock empty-pathspec advisory, exit, stdout, status and index shape
