group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Administration	bundle	<bundle path>	repo.bundle	create HEAD and branch	two-commit repository with delta-friendly blobs	local	all	git bundle create repo.bundle HEAD <branch>	closed	git_pack_integrity_compat::bundle_create_list_heads_and_unbundle_are_stock_readable	creates a stock-verifiable bundle whose unbundled pack contains readable objects and delta entries
Administration	bundle	<positional:operation>	create	file plus revision args	two-commit repository with delta-friendly blobs	local	all	git bundle create repo.bundle HEAD <branch>	closed	git_pack_integrity_compat::bundle_create_list_heads_and_unbundle_are_stock_readable	create operation positional surface writes a stock-verifiable bundle with stock-readable objects
Administration	bundle	<positional:file>	repo.bundle	create plus revision args	two-commit repository with delta-friendly blobs	local	all	git bundle create repo.bundle HEAD <branch>	closed	git_pack_integrity_compat::bundle_create_list_heads_and_unbundle_are_stock_readable	bundle file positional surface writes a stock-verifiable bundle at the requested path
Administration	bundle	<positional:args>	HEAD <branch>	create plus file	two-commit repository with delta-friendly blobs	local	all	git bundle create repo.bundle HEAD <branch>	closed	git_pack_integrity_compat::bundle_create_list_heads_and_unbundle_are_stock_readable	revision argument positional surface creates a stock-verifiable bundle for HEAD and branch inputs
Administration	bundle	<bundle path>	repo.bundle	list-heads default	Zmin-created stock-verifiable bundle	local	all	git bundle list-heads repo.bundle	closed	git_pack_integrity_compat::bundle_create_list_heads_and_unbundle_are_stock_readable	lists bundle heads like stock Git for an unfiltered bundle query
Administration	bundle	<bundle path>	repo.bundle	list-heads explicit head	Zmin-created stock-verifiable bundle	local	all	git bundle list-heads repo.bundle refs/heads/main	closed	git_pack_integrity_compat::bundle_create_list_heads_and_unbundle_are_stock_readable	lists an explicit branch head like stock Git
Administration	bundle	<bundle path>	repo.bundle	list-heads glob	Zmin-created stock-verifiable bundle	local	all	git bundle list-heads repo.bundle refs/heads/*	closed	git_pack_integrity_compat::bundle_create_list_heads_and_unbundle_are_stock_readable	filters bundle heads by glob like stock Git
Administration	bundle	<bundle path>	repo.bundle	unbundle default	empty target repository	local	all	git bundle unbundle repo.bundle	closed	git_pack_integrity_compat::bundle_create_list_heads_and_unbundle_are_stock_readable	unbundles into an empty repository with stock stdout and readable objects
Administration	bundle	<bundle path>	repo.bundle	unbundle glob	empty target repository	local	all	git bundle unbundle repo.bundle refs/heads/*	closed	git_pack_integrity_compat::bundle_create_list_heads_and_unbundle_are_stock_readable	unbundles filtered refs with stock stdout
Administration	bundle	--version	3	create range then fetch	two-commit repository and target one commit behind	local	all	git bundle create --version=3 versioned.bundle main^..main	closed	git_pack_integrity_compat::bundle_create_accepts_version_option_for_upstream_fetch_suite	creates a v3 range bundle that stock Git verifies and Zmin can fetch to advance the target branch
Administration	bundle	--since	<date>	create main	two-commit repository	local	all	git bundle create since.bundle main --since=<date>	closed	git_pack_integrity_compat::bundle_create_accepts_since_option_for_upstream_fetch_suite	creates a stock-verifiable bundle using a date-limited revision walk
Administration	bundle	<bundle path>	incremental.bundle	verify prerequisite bundle	target repository has prerequisite base commit	local	all	git bundle verify incremental.bundle	closed	git_pack_integrity_compat::bundle_unbundle_accepts_prerequisite_bundles	verifies an incremental prerequisite bundle with exit code 0 like stock Git
Administration	bundle	<bundle path>	incremental.bundle	unbundle prerequisite bundle	target repository has prerequisite base commit	local	all	git bundle unbundle incremental.bundle	closed	git_pack_integrity_compat::bundle_unbundle_accepts_prerequisite_bundles	unbundles an incremental prerequisite bundle with stock stdout and readable objects
