group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	mktree	<none>	text tree records	<empty>	local repository with written blobs	local	all	printf '100644 blob <oid>\tpath\n' | git mktree	closed	git_object_plumbing_compat::mktree_matches_stock_git_for_text_nul_and_batch_input	text tree input creates the same tree object id as stock Git
Plumbing Commands	mktree	-z	<empty>	NUL-delimited tree records	local repository with written blob	local	all	printf '100644 blob <oid>\tpath\\0' | git mktree -z	closed	git_object_plumbing_compat::mktree_matches_stock_git_for_text_nul_and_batch_input	NUL-delimited tree input creates the same tree object id as stock Git
Plumbing Commands	mktree	--batch	<empty>	multiple tree records separated by blank line	local repository with written blobs	local	all	printf '...\\n\\n...' | git mktree --batch	closed	git_object_plumbing_compat::mktree_matches_stock_git_for_text_nul_and_batch_input	batch mode creates the same sequence of tree object ids as stock Git
Plumbing Commands	mktree	--missing	<empty>	text tree record for missing blob	local repository without referenced blob	local	all	printf '100644 blob <missing-oid>\tmissing.txt\n' | git mktree --missing	closed	tools/git-mktree-schema-oracle-smoke.sh::mktree_missing_allows_missing_blob	missing mode accepts a missing blob id and writes the same tree object type and stdout as stock Git
Plumbing Commands	mktree	-z	<empty>	repeated NUL-delimited tree records	local repository with written blob	local	all	printf '100644 blob <oid>\tpath\\0' | git mktree -z -z	closed	tools/git-mktree-schema-oracle-smoke.sh::mktree_z_repeated	repeated z option creates the same tree object id as stock Git
Plumbing Commands	mktree	--batch	<empty>	repeated text tree records	local repository with written blob	local	all	printf '100644 blob <oid>\tpath\n' | git mktree --batch --batch	closed	tools/git-mktree-schema-oracle-smoke.sh::mktree_batch_repeated	repeated batch option creates the same tree object id as stock Git
Plumbing Commands	mktree	--missing	<empty>	repeated text tree record for missing blob	local repository without referenced blob	local	all	printf '100644 blob <missing-oid>\tmissing.txt\n' | git mktree --missing --missing	closed	tools/git-mktree-schema-oracle-smoke.sh::mktree_missing_repeated	repeated missing option accepts a missing blob id like stock Git
Plumbing Commands	mktree	--no-batch	<empty>	text tree records	local repository with written blob	local	all	printf '100644 blob <oid>\tpath\n' | git mktree --no-batch	closed	tools/git-mktree-schema-oracle-smoke.sh::mktree_no_batch	no-batch option creates the same tree object id as stock Git
Plumbing Commands	mktree	--no-missing	<empty>	text tree records	local repository with written blob	local	all	printf '100644 blob <oid>\tpath\n' | git mktree --no-missing	closed	tools/git-mktree-schema-oracle-smoke.sh::mktree_no_missing	no-missing option creates the same tree object id as stock Git
Plumbing Commands	mktree	--no-z	<empty>	text tree records	local repository with written blob	local	all	printf '100644 blob <oid>\tpath\n' | git mktree --no-z	invalid-input	tools/git-mktree-schema-oracle-smoke.sh::mktree_no_z_rejected	stock Git rejects no-z with exit 129 and matching stderr
Plumbing Commands	mktree	-z	true	text tree records	local repository with written blob	local	all	printf '100644 blob <oid>\tpath\n' | git mktree -z=true	invalid-input	tools/git-mktree-schema-oracle-smoke.sh::mktree_z_rejects_value	stock Git rejects z value with exit 129 and matching stderr
Plumbing Commands	mktree	--batch	true	text tree records	local repository with written blob	local	all	printf '100644 blob <oid>\tpath\n' | git mktree --batch=true	invalid-input	tools/git-mktree-schema-oracle-smoke.sh::mktree_batch_rejects_value	stock Git rejects batch value with exit 129 and matching stderr
Plumbing Commands	mktree	--missing	true	text tree records	local repository with written blob	local	all	printf '100644 blob <oid>\tpath\n' | git mktree --missing=true	invalid-input	tools/git-mktree-schema-oracle-smoke.sh::mktree_missing_rejects_value	stock Git rejects missing value with exit 129 and matching stderr
Plumbing Commands	mktree	--batch	<empty>	--no-batch text tree records	local repository with written blob	local	all	printf '100644 blob <oid>\tpath\n' | git mktree --batch --no-batch	closed	tools/git-mktree-schema-oracle-smoke.sh::mktree_batch_no_batch	batch followed by no-batch creates the same tree object id as stock Git
Plumbing Commands	mktree	<none>	empty stdin	<empty>	local repository	local	all	printf '' | git mktree	closed	tools/git-mktree-schema-oracle-smoke.sh::mktree_empty_input	empty input creates the same empty tree object id as stock Git
Plumbing Commands	mktree	--missing	<empty>	--no-missing missing blob record	local repository without referenced blob	local	all	printf '100644 blob <missing-oid>\tmissing.txt\n' | git mktree --missing --no-missing	invalid-input	tools/git-mktree-schema-oracle-smoke.sh::mktree_missing_no_missing_rejects_missing_blob	no-missing after missing rejects a missing blob with stock Git exit and stderr
Plumbing Commands	mktree	<none>	bad-record	malformed text tree record	local repository	local	all	printf 'bad-record\n' | git mktree	invalid-input	tools/git-mktree-schema-oracle-smoke.sh::mktree_bad_record_rejected	malformed record rejection matches stock Git exit, stdout and stderr
