group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Plumbing Commands	cat-file	--batch	%(bad)	custom format unknown atom	local repository	local	all	printf '<oid>\n' | git cat-file --batch='%(bad)'	invalid-input	git_cat_file_invalid_compat::cat_file_batch_unknown_atom_matches_stock_git	unknown batch format atom exits 128 with stock fatal bad-format diagnostic instead of a custom unsupported-atom fatal diagnostic
Plumbing Commands	cat-file	--filter	bad:name	--batch object filtering	local repository	local	all	printf '<oid>\n' | git cat-file --batch --filter=bad:name	invalid-input	git_object_plumbing_compat::cat_file_unknown_filter_names_match_stock_git	unknown colon-style object filter names exit 128 with stock fatal invalid-filter diagnostic instead of the known-unsupported-filter usage path
Plumbing Commands	cat-file	--filter	bad=name	--batch object filtering	local repository	local	all	printf '<oid>\n' | git cat-file --batch --filter=bad=name	invalid-input	git_object_plumbing_compat::cat_file_unknown_filter_names_match_stock_git	unknown equals-style object filter names exit 128 with stock fatal invalid-filter diagnostic instead of the known-unsupported-filter usage path
Plumbing Commands	cat-file	--filter	tree:1	--batch object filtering	local repository	local	all	printf '<oid>\n' | git cat-file --batch --filter=tree:1	invalid-input	git_object_plumbing_compat::cat_file_known_unsupported_filters_match_stock_git	known unsupported tree-depth object filter exits 129 with stock usage diagnostic
Plumbing Commands	cat-file	--filter	sparse:oid=deadbeef	--batch object filtering	local repository	local	all	printf '<oid>\n' | git cat-file --batch --filter=sparse:oid=deadbeef	invalid-input	git_object_plumbing_compat::cat_file_known_unsupported_filters_match_stock_git	known unsupported sparse-oid object filter exits 129 with stock usage diagnostic
Plumbing Commands	cat-file	--filter	combine:blob:none+tree:1	--batch object filtering	local repository	local	all	printf '<oid>\n' | git cat-file --batch --filter=combine:blob:none+tree:1	invalid-input	git_object_plumbing_compat::cat_file_known_unsupported_filters_match_stock_git	known unsupported combined object filter exits 129 with stock usage diagnostic
Plumbing Commands	cat-file	--filter	sparse:path=foo	--batch object filtering	local repository	local	all	printf '<oid>\n' | git cat-file --batch --filter=sparse:path=foo	invalid-input	git_object_plumbing_compat::cat_file_sparse_path_filter_matches_stock_git	dropped sparse:path object filter exits 128 with stock fatal support-dropped diagnostic
Plumbing Commands	cat-file	-t	<object>	corrupt loose object type	local repository with invalid loose object	local	all	git cat-file -t <oid>	invalid-input	git_cat_file_corrupt_object_compat::cat_file_rejects_unsupported_loose_object_type_like_stock_git	corrupt loose object with unsupported type name exits with stock diagnostics instead of exposing a custom unsupported-object-type guard
Plumbing Commands	cat-file	-t	HEAD	--bare	bare repository	local	all	git --bare cat-file -t HEAD	closed	git_global_cli_compat::global_bare_option_matches_stock_git_ordering_and_discovery	global --bare cat-file type query matches stock Git in a bare repository
Plumbing Commands	cat-file	-s	<object>	large loose blob	local repository with large stdin-written object	local	all	git cat-file -s <oid>	closed	git_object_plumbing_compat::hash_object_and_cat_file_match_stock_git	loose large blob size query matches stock Git after hash-object -w --stdin
