group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Getting and Creating Projects	init	--object-format	bogus	invalid object format	empty directory	local	all	git init --object-format=bogus	invalid-input	tools/git-schema-parser-oracle-smoke.sh::init_object_format_invalid	rejects invalid object format with stock exit 128, empty stdout, exact stderr and no .git side effect
Getting and Creating Projects	init	--ref-format	bogus	invalid ref format	empty directory	local	all	git init --ref-format=bogus	invalid-input	tools/git-schema-parser-oracle-smoke.sh::init_ref_format_invalid	rejects invalid ref format with stock exit 128, empty stdout, exact stderr and no .git side effect
Getting and Creating Projects	init	-q	<empty>	initial branch main	empty destination parent	local	all	git init -q -b main repo	closed	git_global_cli_compat::init_quiet_matches_stock_git	short quiet form suppresses init output and creates the requested initial branch like stock Git
Getting and Creating Projects	init	--quiet	<empty>	initial branch main	empty destination parent	local	all	git init --quiet -b main repo	closed	git_global_cli_compat::init_quiet_matches_stock_git	long quiet form suppresses init output and creates the requested initial branch like stock Git
Getting and Creating Projects	init	<positional:directory>	repo	initial branch main	empty destination parent	local	all	git init -q -b main repo	closed	git_global_cli_compat::init_quiet_matches_stock_git	directory positional surface creates the repository in the requested path like stock Git
Getting and Creating Projects	init	--bare	<empty>	repository directory	empty destination parent	local	all	git init --bare repo.git	closed	tools/git-init-schema-gap-probe.sh::init_bare	bare repository stdout, stderr and template side-effect tree match stock Git
Getting and Creating Projects	init	--initial-branch	main	repository directory	empty destination parent	local	all	git init --initial-branch main repo	closed	tools/git-init-schema-gap-probe.sh::init_initial_branch	initial branch stdout, stderr and template side-effect tree match stock Git
Getting and Creating Projects	init	--separate-git-dir	<path>	repository directory	empty destination parent	local	all	git init --separate-git-dir <gitdir> repo	closed	tools/git-init-schema-gap-probe.sh::init_separate_git_dir	separate git-dir stdout, stderr and worktree gitfile side effects match stock Git after path normalization
Getting and Creating Projects	init	--shared	group	repository directory	empty destination parent	local	all	git init --shared=group repo	closed	tools/git-init-schema-gap-probe.sh::init_shared_group	shared repository stdout, stderr and template side-effect tree match stock Git
Getting and Creating Projects	init	--template	<path>	repository directory with custom hook template	empty destination parent	local	all	git init --template=<path> repo	closed	tools/git-init-schema-gap-probe.sh::init_template	explicit missing-template warning, stdout and side-effect tree match stock Git
