group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Server Admin	daemon	--base-path	<path>	--listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --base-path=<root>	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_base_path	daemon serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--base-path-relaxed	<empty>	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --base-path=<root> --base-path-relaxed	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_base_path_relaxed	daemon serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--export-all	<empty>	--base-path --listen --port	bare repository under daemon root	git daemon	all	git daemon --export-all	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_export_all	export-all daemon serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--inetd	<empty>	unknown service request	bare repository under daemon root	stdin/stdout	all	git daemon --inetd --export-all --base-path=<root>	invalid-input	tools/git-daemon-schema-oracle-smoke.sh::daemon_inetd_unknown_service; git_transport_http_compat::daemon_unknown_service_matches_stock_git_inetd_failure	inetd mode rejects an unknown service request with stock-compatible exit status, stdout and stderr
Server Admin	daemon	--init-timeout	3	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --init-timeout=3	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_init_timeout	daemon accepts init-timeout and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--listen	127.0.0.1	--base-path --port --export-all	bare repository under daemon root	git daemon	all	git daemon --listen=127.0.0.1	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_listen	daemon listens on localhost and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--max-connections	8	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --max-connections=8	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_max_connections	daemon accepts max-connections and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--pid-file	<path>	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --pid-file=<file>	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_pid_file	daemon writes a pid file and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--access-hook	<path>	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --access-hook=<file>	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_access_hook	daemon accepts an access-hook path and preserves the current helper-free export-all serving lane when the hook allows access
Server Admin	daemon	--detach	<empty>	--detach --pid-file --base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --detach --pid-file=<file>	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_detach	detach daemonizes the current serving lane while preserving stock-compatible startup stdout/stderr and git:// ls-remote output
Server Admin	daemon	--group	staff	--group=staff with no --user	bare repository under daemon root	git daemon	all	git daemon --group=staff	invalid-input	tools/git-daemon-schema-oracle-smoke.sh::daemon_group_requires_user	group without user reproduces the stock startup fatal requiring --user
Server Admin	daemon	--enable	upload-pack	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --enable=upload-pack	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_enable_upload_pack	daemon accepts upload-pack enable toggles and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--disable	receive-pack	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --disable=receive-pack	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_disable_receive_pack	daemon accepts receive-pack disable toggles and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--allow-override	upload-pack	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --allow-override=upload-pack	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_allow_override_upload_pack	daemon accepts upload-pack allow-override toggles and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--forbid-override	upload-pack	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --forbid-override=upload-pack	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_forbid_override_upload_pack	daemon accepts upload-pack forbid-override toggles and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--informative-errors	<empty>	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --informative-errors	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_informative_errors	daemon accepts informative-errors and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--no-informative-errors	<empty>	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --no-informative-errors	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_no_informative_errors	daemon accepts no-informative-errors and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--log-destination	stderr	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --log-destination=stderr	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_log_destination_stderr	daemon accepts log-destination=stderr and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--interpolated-path	%H%D	--interpolated-path=%H%D --base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --interpolated-path=%H%D	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_interpolated_path_denied	interpolated-path preserves the current helper-free server startup lane but denies the static /remote.git request with stock-compatible access-denied output
Server Admin	daemon	--syslog	<empty>	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --syslog	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_syslog	daemon accepts syslog mode and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--port	<port>	--base-path --listen --export-all	bare repository under daemon root	git daemon	all	git daemon --port=<port>	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_port	daemon listens on the selected port and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--reuseaddr	<empty>	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --reuseaddr	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_reuseaddr	daemon accepts reuseaddr and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--strict-paths	<empty>	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --strict-paths	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_strict_paths	strict paths with base-path and this directory allow-list shape denies /remote.git with stock-compatible exit, stdout and stderr
Server Admin	daemon	--timeout	3	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --timeout=3	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_timeout	daemon accepts timeout and serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	--user	nobody	--user=nobody --base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --user=nobody	invalid-input	tools/git-daemon-schema-oracle-smoke.sh::daemon_user_cannot_drop_privileges	user reproduces the stock startup fatal when the daemon cannot drop privileges on the current local lane
Server Admin	daemon	--user-path	<empty>	--user-path --base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --user-path	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_user_path	user-path is accepted and preserves the current helper-free export-all serving lane for the static /remote.git request
Server Admin	daemon	--verbose	<empty>	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon --verbose	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_verbose	verbose daemon serves refs over git protocol with stock-compatible ls-remote output
Server Admin	daemon	<positional:directories>	<root>	--base-path --listen --port --export-all	bare repository under daemon root	git daemon	all	git daemon <directory>	closed	tools/git-daemon-schema-oracle-smoke.sh::daemon_directories	daemon positional directory allow-list serves refs over git protocol with stock-compatible ls-remote output
