group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Basic Snapshotting	commit	-m	initial	<none>	staged initial tracked file	local	all	git commit -m initial	closed	git_commit_compat::commit_amend_matches_stock_git_state	initial commit object matches stock Git before amend flow
Basic Snapshotting	commit	--amend	<empty>	-m amended	staged tracked modification	local	all	git commit --amend -m amended	closed	git_commit_compat::commit_amend_matches_stock_git_state	amended commit object, parent list and commit count match stock Git
Basic Snapshotting	commit	--amend	<empty>	-m message only	no staged changes after previous amend	local	all	git commit --amend -m "message only"	closed	git_commit_compat::commit_amend_matches_stock_git_state	message-only amend preserves tree and matches stock Git commit object
Basic Snapshotting	commit	--amend	<empty>	--no-edit staged add	staged new tracked file	local	all	git commit --amend --no-edit	closed	git_commit_compat::commit_amend_matches_stock_git_state	no-edit amend preserves message and matches stock Git commit object
Basic Snapshotting	commit	--amend	<empty>	GIT_EDITOR=: staged add	staged new tracked file	local	all	GIT_EDITOR=: git commit --amend	closed	git_commit_compat::commit_amend_matches_stock_git_state	editor-backed amend reuses message and matches stock Git commit object
Basic Snapshotting	commit	<pathspec>	.	-m "add attrs"	new .gitattributes staged	local	all	git commit -m "add attrs" .	closed	git_commit_compat::commit_dot_pathspec_matches_stock_git_state	dot pathspec commit matches stock Git commit object, porcelain status and index state
Basic Snapshotting	commit	-m	base	<none>	staged initial tracked files	local	all	git commit -m base	closed	git_commit_compat::commit_pathspec_only_and_fixup_match_stock_git_state	base commit object matches stock Git before pathspec and fixup flow
Basic Snapshotting	commit	<pathspec>	a.txt	-m path -- pathspec with unrelated staged file	modified tracked file plus unrelated staged file	local	all	git commit -m path -- a.txt	closed	git_commit_compat::commit_pathspec_only_and_fixup_match_stock_git_state	pathspec commit object, porcelain status and index state match stock Git
Basic Snapshotting	commit	--only	<empty>	-m "only path" a.txt	modified tracked file plus unrelated staged file	local	all	git commit --only -m "only path" a.txt	closed	git_commit_compat::commit_pathspec_only_and_fixup_match_stock_git_state	only path commit object and remaining porcelain status match stock Git
Basic Snapshotting	commit	--fixup	HEAD	<none>	staged tracked modification	local	all	git commit --fixup HEAD	closed	git_commit_compat::commit_pathspec_only_and_fixup_match_stock_git_state	fixup subject and commit object match stock Git
Basic Snapshotting	commit	--fixup	HEAD	-m "fixup detail"	staged tracked modification	local	all	git commit --fixup HEAD -m "fixup detail"	closed	git_commit_compat::commit_pathspec_only_and_fixup_match_stock_git_state	fixup commit with additional message paragraph matches stock Git
Basic Snapshotting	commit	--fixup	amend:HEAD	GIT_EDITOR=custom staged file	staged new tracked file	local	all	GIT_EDITOR=.git/editor.sh git commit --fixup=amend:HEAD	closed	git_commit_compat::commit_pathspec_only_and_fixup_match_stock_git_state	amend fixup output, editor input and commit object match stock Git
Basic Snapshotting	commit	--fixup	reword:HEAD	GIT_EDITOR=custom staged file	staged new tracked file	local	all	GIT_EDITOR=.git/editor.sh git commit --fixup=reword:HEAD	closed	git_commit_compat::commit_pathspec_only_and_fixup_match_stock_git_state	reword fixup output, editor input, commit object, porcelain status and index state match stock Git
Basic Snapshotting	commit	-m	subject	-m body	staged tracked file	local	all	git commit -m subject -m body	closed	git_commit_compat::commit_messages_match_stock_git_object	multiple -m paragraphs match stock Git commit object
Basic Snapshotting	commit	-F	message.txt	<none>	staged tracked files plus message file	local	all	git commit -F message.txt	closed	git_commit_compat::commit_messages_match_stock_git_object	file-backed message matches stock Git commit object
Basic Snapshotting	commit	--allow-empty-message	<empty>	-m ""	staged tracked file	local	all	git commit --allow-empty-message -m ""	closed	git_commit_compat::commit_messages_match_stock_git_object	empty message commit matches stock Git commit object
Basic Snapshotting	commit	--amend	<empty>	-m amended -m details staged add	staged new tracked file	local	all	git commit --amend -m amended -m details	closed	git_commit_compat::commit_messages_match_stock_git_object	amend with multiple message paragraphs matches stock Git commit object
Basic Snapshotting	commit	-C	HEAD	<none>	staged new tracked file	local	all	git commit -C HEAD	closed	git_commit_compat::commit_reuse_message_matches_stock_git_object	reused HEAD message matches stock Git commit object
