group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Inspection and Comparison	log	--max-count	2	<none>	two commits	local	all	git log --max-count 2	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	max-count limits log output like stock Git
Inspection and Comparison	log	-1	<empty>	--format=%H	two commits	local	all	git log -1 --format=%H	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	short max-count form with format matches stock Git
Inspection and Comparison	log	-z	<empty>	-1 --format with %x00 atoms	two commits	local	all	git log -z -1 --format=%H%x00%P%x00%D%x00%s	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	NUL-aware formatted log output matches stock Git
Inspection and Comparison	log	-z	<empty>	-1 --format with %x00 atoms through replacement shim	cloned repository history	local	all	git log -z --format=%H%x00%P%x00%D%x00%s -1	closed	tools/git-replacement-dogfood-smoke.sh::log_z	NUL-aware formatted log output matches stock Git through a git-in-PATH replacement shim
Inspection and Comparison	log	<pathspec>	directory	-z --format through replacement shim	cloned repository history	local	all	git log -z --format=%H%x00%s -1 -- dir	closed	tools/git-replacement-dogfood-smoke.sh::log_pathspec_dir_z	NUL-delimited formatted directory pathspec history output matches stock Git through a git-in-PATH replacement shim
Inspection and Comparison	log	--reverse	<empty>	--format=%s	two commits	local	all	git log --reverse --format=%s	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	reverse commit ordering matches stock Git
Inspection and Comparison	log	--stat	<empty>	--max-count=1	two commits with file changes	local	all	git log --stat --max-count 1	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	stat output in log matches stock Git
Inspection and Comparison	log	--numstat	<empty>	--format=%H --max-count=1	two commits with file changes	local	all	git log --numstat --format=%H --max-count 1	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	numstat output in log matches stock Git
Inspection and Comparison	log	--shortstat	<empty>	--max-count=1	two commits with file changes	local	all	git log --shortstat --max-count 1	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	shortstat output in log matches stock Git
Inspection and Comparison	log	--raw	<empty>	--format=%H --max-count=1	two commits with file changes	local	all	git log --raw --format=%H --max-count 1	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	raw output in log matches stock Git
Inspection and Comparison	log	--summary	<empty>	--format=%H --max-count=1	two commits with file changes	local	all	git log --summary --format=%H --max-count 1	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	summary output in log matches stock Git
Inspection and Comparison	log	--name-only	<empty>	--format=%H --max-count=1	two commits with file changes	local	all	git log --name-only --format=%H --max-count 1	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	name-only output in log matches stock Git
Inspection and Comparison	log	--name-status	<empty>	--format=%H --max-count=1	two commits with file changes	local	all	git log --name-status --format=%H --max-count 1	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	name-status output in log matches stock Git
Inspection and Comparison	log	--parents	<empty>	--oneline --max-count=1	two commits	local	all	git log --parents --oneline --max-count 1	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	parent list in oneline output matches stock Git
Inspection and Comparison	log	--all	<empty>	--format=%H	branch and blob tag refs	local	all	git log --all --format=%H	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	all refs traversal matches stock Git for fixture
Inspection and Comparison	log	--format	%H	--max-count=1	two commits	local	all	git log --format=%H --max-count 1	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	hash-only format output matches stock Git
Inspection and Comparison	log	--format	%h %s	--max-count=1	two commits	local	all	git log --format=%h %s --max-count 1	closed	git_history_query_compat::add_commit_rev_list_and_log_match_stock_git_state	short hash and subject format output matches stock Git
