group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Administration	reflog	--date	bogus	<empty>	one reflog entry	local	all	git reflog --date=bogus	invalid-input	git_reflog_compat::reflog_invalid_date_format_matches_stock_git	invalid reflog date format exits 128 with stock fatal diagnostic instead of a custom unsupported-date fatal diagnostic
Administration	reflog	<ref>	bogus	shorthand show invalid ref	one reflog entry	local	all	git reflog bogus	invalid-input	git_reflog_compat::reflog_shorthand_ref_and_invalid_ref_match_stock_git	unknown-looking reflog token is parsed as shorthand show ref like stock Git and invalid refs exit 128 with ambiguous-revision diagnostics
Administration	reflog	<none>	<default>	implicit show	branch with two commits	local	all	git reflog	closed	git_reflog_compat::reflog_show_list_and_exists_match_stock_git	default reflog output matches stock Git for a branch with two reflog entries
Administration	reflog	show	refs/heads/main	--format=%H	branch with two commits	local	all	git reflog show refs/heads/main --format=%H	closed	git_reflog_compat::reflog_show_list_and_exists_match_stock_git	explicit show of a full branch ref with format atom matches stock Git
Administration	reflog	<args>	refs/heads/main	show --format=%H	branch with two commits	local	all	git reflog show refs/heads/main --format=%H	closed	git_reflog_compat::reflog_show_list_and_exists_match_stock_git	positional reflog args dispatch to show a full branch ref with output matching stock Git
Administration	reflog	list	<none>	<empty>	branch with HEAD and main reflogs	local	all	git reflog list	closed	git_reflog_compat::reflog_show_list_and_exists_match_stock_git	lists reflog refs with stock output and exit status
Administration	reflog	exists	HEAD	<empty>	branch with HEAD reflog	local	all	git reflog exists HEAD	closed	git_reflog_compat::reflog_show_list_and_exists_match_stock_git	reports existing HEAD reflog with stock exit status
Administration	reflog	--date	common modes	implicit show	one reflog entry with fixed oracle clock	local	all	GIT_TEST_DATE_NOW=1700003600 git reflog --date=iso-strict	closed	git_reflog_compat::reflog_show_date_modes_match_stock_git	default, local, iso-strict, rfc, rfc2822, short, relative and human date modes match stock Git
Administration	reflog	show --	--does-not-exist	pathspec after double dash	commit touching --a-file	local	all	git reflog show -- --does-not-exist	closed	git_reflog_compat::reflog_show_passes_pathspec_after_double_dash	treats tokens after double dash as pathspecs and returns stock empty filtered output for a missing path
Administration	reflog	show --	--a-file	pathspec after double dash	commit touching --a-file	local	all	git reflog show -- --a-file	closed	git_reflog_compat::reflog_show_passes_pathspec_after_double_dash	treats dash-prefixed tokens after double dash as pathspecs and filters reflog output like stock Git
Administration	reflog	show	main	after reset --hard	branch with three commits reset to HEAD~1	local	all	git reset --hard HEAD~1; git reflog show main	closed	git_reflog_compat::reset_hard_records_branch_and_head_reflog	reset --hard records branch and HEAD reflog entries in stock order and message shape
Administration	reflog	show	main	after empty commits	branch with two empty commits created by zmin/local git	local	all	git commit --allow-empty -m one; git commit --allow-empty -m two; git reflog show main	closed	git_reflog_compat::commit_records_branch_and_head_reflog	empty commits record matching branch and HEAD reflog entries
Administration	reflog	show	one/two	nested branch creation	branch one/two created from main	local	all	git branch one/two main; git log -g --format=%gd\ %gs one/two	closed	git_reflog_compat::branch_create_reflog_handles_nested_branch_names	nested branch names create stock-compatible reflog paths and log -g output
Administration	reflog	expire	--dry-run	main	branch with two current reflog entries	local	all	git reflog expire --dry-run main	closed	git_reflog_compat::reflog_expire_dry_run_does_not_touch_reflog	dry-run expire matches stock output and leaves reflog entries unchanged
Administration	reflog	expire	current refs	default/updateref/rewrite/verbose	branch with two current reflog entries	local	all	git reflog expire; git reflog expire main; git reflog expire HEAD; git reflog expire --updateref main; git reflog expire --rewrite main; git reflog expire --verbose main	closed	git_reflog_compat::reflog_expire_default_current_entries_match_stock_git	default expire modes match stock output and resulting HEAD/main reflogs
Administration	reflog	expire	multiple refs	pattern gc.reflogExpire config	root1/root2 branch fanout with root2 expire-now config	local	all	git reflog expire root1/branch1 root1/branch2 root2/branch1 root2/branch2	closed	git_reflog_compat::reflog_expire_pattern_config_matches_stock_git	per-pattern reflog expiry config prunes root2 branch reflogs while preserving root1 branches like stock Git
