group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Inspection and Comparison	show-branch	<none>	<empty>	<none>	diverged local branch graph with remote-tracking refs	local	all	git show-branch	closed	git_ref_resolution_compat::show_branch_matches_stock_git_for_local_branch_graphs	default show-branch output matches stock Git
Inspection and Comparison	show-branch	<positional:revs>	main feature	<none>	diverged local branch graph with remote-tracking refs	local	all	git show-branch main feature	closed	git_ref_resolution_compat::show_branch_matches_stock_git_for_local_branch_graphs	positional rev selection output matches stock Git
Inspection and Comparison	show-branch	--sha1-name	<empty>	main feature	diverged local branch graph with remote-tracking refs	local	all	git show-branch --sha1-name main feature	closed	git_ref_resolution_compat::show_branch_matches_stock_git_for_local_branch_graphs	sha1-name positional output matches stock Git
Inspection and Comparison	show-branch	--all	<empty>	<none>	diverged local branch graph with remote-tracking refs	local	all	git show-branch --all	closed	git_ref_resolution_compat::show_branch_matches_stock_git_for_local_branch_graphs	all local and remote branch output matches stock Git
Inspection and Comparison	show-branch	--remotes	<empty>	<none>	diverged local branch graph with remote-tracking refs	local	all	git show-branch --remotes	closed	git_ref_resolution_compat::show_branch_matches_stock_git_for_local_branch_graphs	remote branch output matches stock Git
Inspection and Comparison	show-branch	--current	<empty>	<none>	diverged local branch graph with remote-tracking refs	local	all	git show-branch --current	closed	git_ref_resolution_compat::show_branch_matches_stock_git_for_local_branch_graphs	current branch output matches stock Git
Inspection and Comparison	show-branch	--current	<empty>	main	diverged local branch graph with remote-tracking refs	local	all	git show-branch --current main	closed	git_ref_resolution_compat::show_branch_matches_stock_git_for_local_branch_graphs	current plus explicit branch output matches stock Git
Inspection and Comparison	show-branch	--no-name	<empty>	main feature	diverged local branch graph with remote-tracking refs	local	all	git show-branch --no-name main feature	closed	tools/git-name-rev-show-branch-schema-oracle-smoke.sh::show_branch_no_name	no-name commit graph output matches stock Git
Inspection and Comparison	show-branch	-a	<empty>	<none>	diverged local branch graph with remote-tracking refs	local	all	git show-branch -a	closed	tools/git-name-rev-show-branch-schema-oracle-smoke.sh::show_branch_all_short	short all option output matches stock Git and leaves worktree status unchanged
Inspection and Comparison	show-branch	-r	<empty>	<none>	diverged local branch graph with remote-tracking refs	local	all	git show-branch -r	closed	tools/git-name-rev-show-branch-schema-oracle-smoke.sh::show_branch_remotes_short	short remotes option output matches stock Git and leaves worktree status unchanged
