group	command	option	value	combination	repo_state	transport	platform	stock_git_case	zmin_status	evidence	notes
Administration	fsck	-c	fsck.missingEmail=bogus	<empty>	commit object with author missing email	local	all	git -c fsck.missingEmail=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_email_severity_config_matches_stock_git	invalid missingEmail severity config matches stock Git output and exit status
Administration	fsck	-c	fsck.badEmail=bogus	<empty>	commit object with malformed author email	local	all	git -c fsck.badEmail=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_bad_email_severity_config_matches_stock_git	invalid badEmail severity config matches stock Git output and exit status
Administration	fsck	-c	fsck.missingAuthor=bogus	<empty>	commit object missing author header	local	all	git -c fsck.missingAuthor=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_author_severity_config_matches_stock_git	invalid missingAuthor severity config matches stock Git output and exit status
Administration	fsck	-c	fsck.missingCommitter=bogus	<empty>	commit object missing committer header	local	all	git -c fsck.missingCommitter=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_committer_severity_config_matches_stock_git	invalid missingCommitter severity config matches stock Git output and exit status
Administration	fsck	-c	fsck.missingTaggerEntry=bogus	<empty>	tag object missing tagger header	local	all	git -c fsck.missingTaggerEntry=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_tagger_entry_severity_config_matches_stock_git	invalid missingTaggerEntry severity config matches stock Git output and exit status
Administration	fsck	-c	fsck.badTagName=bogus	<empty>	tag object with invalid tag name	local	all	git -c fsck.badTagName=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_bad_tag_name_severity_config_matches_stock_git	invalid badTagName severity config matches stock Git output and exit status
Administration	fsck	-c	fsck.badDate=bogus	<empty>	tag object with malformed tagger date	local	all	git -c fsck.badDate=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_bad_date_tagger_severity_config_matches_stock_git	invalid badDate severity config for tagger date matches stock Git output and exit status
Administration	fsck	-c	fsck.missingEmail=bogus	<empty>	tag object with tagger missing email	local	all	git -c fsck.missingEmail=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_email_tagger_severity_config_matches_stock_git	invalid missingEmail severity config for tagger identity matches stock Git output and exit status
Administration	fsck	-c	fsck.badEmail=bogus	<empty>	tag object with malformed tagger email	local	all	git -c fsck.badEmail=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_bad_email_tagger_severity_config_matches_stock_git	invalid badEmail severity config for tagger identity matches stock Git output and exit status
Administration	fsck	-c	fsck.missingNameBeforeEmail=bogus	<empty>	tag object with tagger missing name before email	local	all	git -c fsck.missingNameBeforeEmail=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_name_before_email_tagger_severity_config_matches_stock_git	invalid missingNameBeforeEmail severity config matches stock Git output and exit status
Administration	fsck	-c	fsck.missingSpaceBeforeEmail=bogus	<empty>	tag object with tagger missing space before email	local	all	git -c fsck.missingSpaceBeforeEmail=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_space_before_email_tagger_severity_config_matches_stock_git	invalid missingSpaceBeforeEmail severity config for tagger identity matches stock Git output and exit status
Administration	fsck	-c	fsck.missingSpaceBeforeDate=bogus	<empty>	tag object with tagger missing space before date	local	all	git -c fsck.missingSpaceBeforeDate=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_space_before_date_tagger_severity_config_matches_stock_git	invalid missingSpaceBeforeDate severity config for tagger date matches stock Git output and exit status
Administration	fsck	-c	fsck.zeroPaddedDate=bogus	<empty>	tag object with zero-padded tagger date	local	all	git -c fsck.zeroPaddedDate=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_zero_padded_date_tagger_severity_config_matches_stock_git	invalid zeroPaddedDate severity config for tagger date matches stock Git output and exit status
Administration	fsck	-c	fsck.badDate=bogus	<empty>	commit object with malformed author date	local	all	git -c fsck.badDate=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_bad_date_severity_config_matches_stock_git	invalid badDate severity config for author date matches stock Git output and exit status
Administration	fsck	-c	fsck.badTimezone=bogus	<empty>	commit object with malformed author timezone	local	all	git -c fsck.badTimezone=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_bad_timezone_severity_config_matches_stock_git	invalid badTimezone severity config matches stock Git output and exit status
Administration	fsck	-c	fsck.missingSpaceBeforeEmail=bogus	<empty>	commit object with author missing space before email	local	all	git -c fsck.missingSpaceBeforeEmail=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_space_before_email_severity_config_matches_stock_git	invalid missingSpaceBeforeEmail severity config for author identity matches stock Git output and exit status
Administration	fsck	-c	fsck.missingNameBeforeEmail=bogus	<empty>	commit object with author missing name before email	local	all	git -c fsck.missingNameBeforeEmail=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_name_before_email_severity_config_matches_stock_git	invalid missingNameBeforeEmail severity config for author identity matches stock Git output and exit status
Administration	fsck	-c	fsck.missingSpaceBeforeDate=bogus	<empty>	commit object with author missing space before date	local	all	git -c fsck.missingSpaceBeforeDate=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_missing_space_before_date_severity_config_matches_stock_git	invalid missingSpaceBeforeDate severity config for author date matches stock Git output and exit status
Administration	fsck	-c	fsck.zeroPaddedDate=bogus	<empty>	commit object with zero-padded author date	local	all	git -c fsck.zeroPaddedDate=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_zero_padded_date_severity_config_matches_stock_git	invalid zeroPaddedDate severity config for author date matches stock Git output and exit status
Administration	fsck	-c	fsck.zeroPaddedFilemode=bogus	<empty>	tree object with zero-padded filemode	local	all	git -c fsck.zeroPaddedFilemode=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_zero_padded_filemode_severity_config_matches_stock_git	invalid zeroPaddedFilemode severity config matches stock Git output and exit status
Administration	fsck	-c	fsck.badFilemode=bogus	<empty>	tree object with invalid filemode	local	all	git -c fsck.badFilemode=bogus fsck	invalid-input	git_pack_integrity_compat::fsck_bad_filemode_severity_config_matches_stock_git	invalid badFilemode severity config matches stock Git output and exit status
